SSN,Public,Latitude,Longitude,Cluster,Plot,Depth,Soil material,Scientist,Site,Country,Region,Cultivated,Gid
icr055664,True,-9.18733,29.6553,6,1,sub,Chil.6.1.Subsoil.Std fine soil,L.T.Desta,Chilende,Zambia,,False,986
icr034562,True,7.04615167,9.370495,16,1,sub,Kats.16.1.Subsoil.Std fine soil,Jerome Tondoh,Katsina ala,Nigeria,West Africa,True,691
icr023176,True,-13.37361833,35.45979833,4,1,sub,Mak.4.1.Subsoil.Std fine soil,Dr L.T.Desta,Macassangila,Mozambique,South Africa,False,389
icr048566,True,-27.535,30.0388,8,1,top,Mada.8.1.Topsoil.Std fine soil,George Van Zijl,Madadeni,South Africa,South Africa,False,767
icr072505,True,-7.359855,15.761679999999998,14,1,top,Sanz.14.1.Topsoil.Std fine soil,L.T.Desta,Sanza Pompo,Angola,South Africa,,1557
icr034713,True,6.74281667,4.643856667,6,1,top,Imor.6.1.Topsoil.Std fine soil,Jerome Tondoh,Imorun,Nigeria,West Africa,True,702
icr010079,True,-11.11730003,35.17409897,9,1,sub,Mbi.9.1.Subsoil.Std fine soil,Leigh Winoweicki,Mbinga,Tanzania,East Africa,False,197
icr038352,True,11.30782032,39.64009476,15,1,sub,Kuta.15.1.Subsoil.Std fine soil,Leigh Wenoicki,Kutaber,Ethiopia,East Africa,True,750
icr015083,True,10.88871,-2.684621667,2,1,top,Lam.2.1.Topsoil.Std fine soil,Jerome Tondoh,Lambussie,Ghana,West Africa,True,114
icr049974,True,-24.24289667,34.37187333,9,1,top,Mass.9.1.Topsoil.Std fine soil,Lulseged Tamene,Massuque,Mozambique,South Africa,False,1385
icr054483,True,1.527395,31.46912333,4,1,sub,Hoim.4.1.Subsoil.Std fine soil, Leigh Winowiecki ,Hoima,Uganda,East Africa,False,951
icr014744,True,-15.975425,35.28968167,1,1,sub,Thu.1.1.Subsoil.Std fine soil,L.T.Desta,Thuchila,Malawi,South Africa,True,269
icr049358,True,-22.849915,35.31727333,10,1,sub,Chic.10.1.Subsoil.Std fine soil,Lulseged Tamene,Chiculecule,Mozambique,South Africa,True,835
icr014863,True,-15.93559667,35.30966833,7,2,top,Thu.7.2.Topsoil.Std fine soil,L.T.Desta,Thuchila,Malawi,South Africa,True,67
icr074299,True,-21.7905,26.458,1,1,sub,Paje.1.1.Subsoil.Std fine soil,L.T.Desta,Paje,Botswana,,,1786
icr034211,True,8.17348833,9.927748333,16,1,sub,Ibi.16.1.Subsoil.Std fine soil,Jerome Tondoh,Ibi,Nigeria,West Africa,True,658
icr023137,True,-13.42477667,35.46136,2,1,sub,Mak.2.1.Subsoil.Std fine soil,Dr L.T.Desta,Macassangila,Mozambique,South Africa,False,385
icr011097,True,10.94759,-3.585211667,4,3,top,Bon.4.3.Topsoil.Std fine soil,Jerome Tondoh,Bondigui,Burkina Faso,West Africa,,81
icr041858,True,-2.60102701,39.56488037,12,1,top,Mara.12.1.Topsoil.Std fine soil,Leigh Wenoiwecki,Marafa,Kenya,East Africa,,1197
icr068420,True,11.28078,8.123596667000001,1,3,sub,Pamp.1.3.Subsoil.Std fine soil,Jerome Tondoh,Pampaida,Nigeria,West Africa,,1472
icr015200,True,10.92868833,-2.664413333,8,1,sub,Lam.8.1.Subsoil.Std fine soil,Jerome Tondoh,Lambussie,Ghana,West Africa,True,621
icr043287,True,11.90510833,-13.13042,9,2,top,Boum.9.2.Topsoil.Std fine soil,Jerome Tondoh,Boumeoul,Guinea,West Africa,,1287
icr072697,True,-16.240289999999998,14.90458833,6,1,sub,Muco.6.1.Subsoil.Std fine soil,L.T.Desta,Mucope,Angola,South Africa,,1574
icr074319,True,-21.7779,26.4554,2,1,sub,Paje.2.1.Subsoil.Std fine soil,L.T.Desta,Paje,Botswana,,,1788
icr020889,True,-8.02105045,37.27035141,3,1,sub,Kid.3.1.Subsoil.Std fine soil,Leigh Winoweicki,Kidatu,Tanzania,East Africa,False,354
icr043211,True,11.90748167,-13.15499,5,1,top,Boum.5.1.Topsoil.Std fine soil,Jerome Tondoh,Boumeoul,Guinea,West Africa,,1279
icr023314,True,-13.399045,35.50034833,11,1,sub,Mak.11.1.Subsoil.Std fine soil,Dr L.T.Desta,Macassangila,Mozambique,South Africa,False,402
icr021141,True,-8.00446224,37.32851028,16,1,top,Kid.16.1.Topsoil.Std fine soil,Leigh Winoweicki,Kidatu,Tanzania,East Africa,False,380
icr016052,True,5.44766667,-0.717421667,16,1,top,Aju.16.1.Topsoil.Std fine soil,Jerome Tondoh,Ajumako,Ghana,West Africa,False,347
icr015812,True,5.4497800000000005,-0.771613333,4,1,top,Aju.4.1.Topsoil.Std fine soil,Jerome Tondoh,Ajumako,Ghana,West Africa,True,323
icr021023,True,-8.0423584,37.31354523,10,1,top,Kid.10.1.Topsoil.Std fine soil,Leigh Winoweicki,Kidatu,Tanzania,East Africa,False,368
icr056220,True,-16.09294,28.26640167,2,1,top,Mong.2.1.Topsoil.Std fine soil,L.T.Desta,Monga,Zambia,South Africa,False,1038
icr054469,True,1.507103333,31.4679,3,1,top,Hoim.3.1.Topsoil.Std fine soil, Leigh Winowiecki ,Hoima,Uganda,East Africa,True,948
icr038119,True,11.28125763,39.5773468,2,1,sub,Kuta.2.1.Subsoil.Std fine soil,Leigh Wenoicki,Kutaber,Ethiopia,East Africa,False,726
icr037756,True,5.232844999999998,10.226835,1,5,sub,Bana.1.5.Subsoil.Std fine soil,Jerome Tondoh,Bana,Cameroon,West Africa,,1144
icr021063,True,-8.00514507,37.31461716,12,1,top,Kid.12.1.Topsoil.Std fine soil,Leigh Winoweicki,Kidatu,Tanzania,East Africa,False,372
icr010098,True,-11.10509968,35.17229843,10,1,top,Mbi.10.1.Topsoil.Std fine soil,Leigh Winoweicki,Mbinga,Tanzania,East Africa,True,22
icr011824,True,-3.06374502,33.01008606,1,1,top,Buk.1.1.Topsoil.Std fine soil,Leigh Winoweicki,Bukwaya,Tanzania,East Africa,True,45
icr010119,True,-11.07940006,35.16930008,11,1,sub,Mbi.11.1.Subsoil.Std fine soil,Leigh Winoweicki,Mbinga,Tanzania,East Africa,False,199
icr034382,True,7.02818167,9.335976667,7,1,top,Kats.7.1.Topsoil.Std fine soil,Jerome Tondoh,Katsina ala,Nigeria,West Africa,True,671
icr023514,True,-14.75414,39.85758167,5,1,sub,Chik.5.1.Subsoil.Std fine soil,Dr L.T.Desta,Chica_b,Mozambique,South Africa,False,422
icr075587,True,-17.8355,31.9065,14,1,top,Chiq.14.1.Topsoil.Std fine soil,L.T.Desta,Chiqumbakwe,Zimbabwe,,,1870
icr043041,True,10.49347167,-13.36102833,14,1,sub,Fria.14.1.Subsoil.Std fine soil,Jerome Tondoh,Fria,Guinea,West Africa,,1266
icr033637,True,4.19490194,38.25834656,3,1,top,Mega.3.1.Topsoil.Std fine soil,Leigh Wenoiwecki,Mega,Ethiopia,East Africa,,573
icr049655,True,-18.0472,36.84010167,9,2,top,Ihas.9.2.Topsoil.Std fine soil,Lulseged Tamene,Ihassunge,Mozambique,South Africa,False,864
icr015492,True,6.75996167,-1.309595,4,1,top,Kub.4.1.Topsoil.Std fine soil,Jerom Tondoh,Kubeasi,Ghana,West Africa,True,291
icr072545,True,-7.31389,15.76066667,16,2,sub,Sanz.16.2.Subsoil.Std fine soil,L.T.Desta,Sanza Pompo,Angola,South Africa,,1562
icr049955,True,-24.17373167,34.35931333,8,1,sub,Mass.8.1.Subsoil.Std fine soil,Lulseged Tamene,Massuque,Mozambique,South Africa,False,1384
icr074871,True,-19.4209,22.0793,13,1,top,Guma.13.1.Topsoil.Std fine soil,L.T.Desta,Gumare,Botswana,,,1837
icr030201,True,8.60359764,35.02456665,10,2,sub,,Tor Vagen,Dambidolo,Ethiopia,East Africa,True,490
icr072405,True,-7.372464999999999,15.73818833,9,1,top,Sanz.9.1.Topsoil.Std fine soil,L.T.Desta,Sanza Pompo,Angola,South Africa,,1547
icr074018,True,-18.0948,29.4155,3,1,top,Gamb.3.1.Topsoil.Std fine soil,L.T.Desta,Gambisa,Zimbabwe,,False,1695
icr068678,True,11.30931667,8.19152,14,1,sub,Pamp.14.1.Subsoil.Std fine soil,Jerome Tondoh,Pampaida,Nigeria,West Africa,,1497
icr041878,True,-2.66731191,39.57624435,13,1,top,Mara.13.1.Topsoil.Std fine soil,Leigh Wenoiwecki,Marafa,Kenya,East Africa,,1199
icr033389,True,-0.12994801,38.99116898,2,10,top,Mbal.2.10.Topsoil.Std fine soil,Leigh Winowiecki,Mbalambala,Kenya,East Africa,,1074
icr070203,True,9.192731667,5.697721667000001,6,4,sub,Kuti.6.4.Subsoil.Std fine soil,Jerom Tondoh,Kutigi,Nigeria,West Africa,,1513
icr033427,True,-0.12714501,39.014431,6,1,top,Mbal.6.1.Topsoil.Std fine soil,Leigh Winowiecki,Mbalambala,Kenya,East Africa,,1080
icr072247,True,-7.37775,15.68749167,1,1,sub,Sanz.1.1.Subsoil.Std fine soil,L.T.Desta,Sanza Pompo,Angola,South Africa,,1532
icr010356,True,14.80026667,-11.03579167,2,1,sub,Kon.2.1.Subsoil.Std fine soil,Jerome Tondoh,Kontela,Mali,West Africa,True,209
icr006570,True,-6.06997013,36.46458817,7,2,top,Pan.7.2.Topsoil.Std fine soil,Tor Gunnar Vagen,Pandambili,Tanzania,East Africa,False,606
icr049075,True,-29.9813,22.7623,9,1,sub,Prie.9.1.Subsoil.Std fine soil,George Van Zijl,Prieska,South Africa,South Africa,False,801
icr049576,True,-18.04411167,36.82392333,5,2,top,Ihas.5.2.Topsoil.Std fine soil,Lulseged Tamene,Ihassunge,Mozambique,South Africa,True,856
icr042208,True,-1.75810206,35.84511185,13,1,top,Mori.13.1.Topsoil.Std fine soil,Leigh wenoweicki,Morijo,Kenya,East Africa,,1231
icr011825,True,-3.06374502,33.01008606,1,1,sub,Buk.1.1.Subsoil.Std fine soil,Leigh Winoweicki,Bukwaya,Tanzania,East Africa,True,253
icr015177,True,10.9093,-2.65447,7,1,top,Lam.7.1.Topsoil.Std fine soil,Jerome Tondoh,Lambussie,Ghana,,False,119
icr014548,True,-11.59183667,34.230455,8,1,top,Nkh.8.1.Topsoil.Std fine soil,L.T.Desta,Nkhata Bay,Malawi,South Africa,,101
icr015972,True,5.434675,-0.728883333,12,1,top,Aju.12.1.Topsoil.Std fine soil,Jerome Tondoh,Ajumako,Ghana,West Africa,False,339
icr056320,True,-16.06947333,28.28348833,7,1,top,Mong.7.1.Topsoil.Std fine soil,L.T.Desta,Monga,Zambia,South Africa,False,1048
icr010396,True,14.83678,-11.03356833,4,1,sub,Kon.4.1.Subsoil.Std fine soil,Jerome Tondoh,Kontela,Mali,West Africa,False,213
icr021064,True,-8.00514507,37.31461716,12,1,sub,Kid.12.1.Subsoil.Std fine soil,Leigh Winoweicki,Kidatu,Tanzania,East Africa,False,373
icr075528,True,-17.8183,31.8831,11,1,top,Chiq.11.1.Topsoil.Std fine soil,L.T.Desta,Chiqumbakwe,Zimbabwe,,,1864
icr014469,True,-11.59462833,34.20611667,4,1,sub,Nkh.4.1.Subsoil.Std fine soil,L.T.Desta,Nkhata Bay,Malawi,South Africa,,523
icr075588,True,-17.8355,31.9065,14,1,sub,Chiq.14.1.Subsoil.Std fine soil,L.T.Desta,Chiqumbakwe,Zimbabwe,,,1871
icr049397,True,-22.80366,35.31284167,12,1,top,Chic.12.1.Topsoil.Std fine soil,Lulseged Tamene,Chiculecule,Mozambique,South Africa,False,839
icr014529,True,-11.61275667,34.22261833,7,1,sub,Nkh.7.1.Subsoil.Std fine soil,L.T.Desta,Nkhata Bay,Malawi,South Africa,,526
icr030494,True,9.63629723,42.71965027,12,1,top,,Tor Vargen,Merar,Ethiopia,East Africa,,559
icr073762,True,-19.38859667,28.74953333,7,1,top,Keni.7.1.Topsoil.Std fine soil,L.T.Desta,Kenilworth,Zimbabwe,South Africa,,1768
icr055603,True,-9.15515,29.6233,3,1,top,Chil.3.1.Topsoil.Std fine soil,L.T.Desta,Chilende,Zambia,,False,980
icr074471,True,-21.7756,26.5008,10,1,sub,Paje.10.1.Subsoil.Std fine soil,L.T.Desta,Paje,Botswana,,,686
icr009999,True,-11.12320042,35.14569855,5,1,sub,Mbi.5.1.Subsoil.Std fine soil,Leigh Winoweicki,Mbinga,Tanzania,East Africa,False,193
icr069910,True,14.858365,-7.82084,7,1,sub,Tamb.7.1.Subsoil.Std fine soil,Jerom Tondoh,Tambabougou,Mali,West Africa,,1736
icr074123,True,-18.1381,29.4551,9,1,sub,Gamb.9.1.Subsoil.Std fine soil,L.T.Desta,Gambisa,Zimbabwe,,False,1708
icr014608,True,-11.61035833,34.25054833,11,2,top,Nkh.11.2.Topsoil.Std fine soil,L.T.Desta,Nkhata Bay,Malawi,South Africa,,104
icr050255,True,-16.12728667,38.95530167,7,1,sub,Mart.7.1.Subsoil.Std fine soil,Lulseged Tamene,Martinho,Mozambique,South Africa,False,893
icr030043,True,8.60079002,34.98501205,2,1,top,,Tor Vagen,Dambidolo,Ethiopia,East Africa,True,473
icr049198,True,-22.85042333,35.273025,2,1,sub,Chic.2.1.Subsoil.Std fine soil,Lulseged Tamene,Chiculecule,Mozambique,South Africa,True,819
icr049157,True,-29.9279,22.7819,15,5,sub,Prie.15.5.Subsoil.Std fine soil,George Van Zijl,Prieska,South Africa,South Africa,False,813
icr015613,True,6.71195333,-1.260205,10,1,sub,Kub.10.1.Subsoil.Std fine soil,Jerom Tondoh,Kubeasi,Ghana,West Africa,False,304
icr073362,True,-12.30484,15.14741667,4,2,sub,Luim.4.2.Subsoil.Std fine soil,L.T.Desta,Luimbale,Angola,South Africa,,1632
icr033792,True,4.1927681,38.30604172,11,1,sub,Mega.11.1.Subsoil.Std fine soil,Leigh Wenoiwecki,Mega,Ethiopia,East Africa,,590
icr069890,True,14.83103333,-7.823068332999999,6,1,sub,Tamb.6.1.Subsoil.Std fine soil,Jerom Tondoh,Tambabougou,Mali,West Africa,,1734
icr015256,True,10.91673167,-2.6396,11,1,top,Lam.11.1.Topsoil.Std fine soil,Jerome Tondoh,Lambussie,Ghana,West Africa,True,123
icr050134,True,-16.17747833,38.93670333,1,1,top,Mart.1.1.Topsoil.Std fine soil,Lulseged Tamene,Martinho,Mozambique,South Africa,True,880
icr015912,True,5.377035,-0.726425,9,1,top,Aju.9.1.Topsoil.Std fine soil,Jerome Tondoh,Ajumako,Ghana,West Africa,False,333
icr075529,True,-17.8183,31.8831,11,1,sub,Chiq.11.1.Subsoil.Std fine soil,L.T.Desta,Chiqumbakwe,Zimbabwe,,,1865
icr023334,True,-13.37075167,35.50440167,12,1,sub,Mak.12.1.Subsoil.Std fine soil,Dr L.T.Desta,Macassangila,Mozambique,South Africa,True,404
icr037699,True,11.34972,-5.469775,16,2,top,Fink.16.2.Topsoil.Std fine soil,Jerome Tondoh,Finnkolo,Mali,West Africa,,1141
icr030388,True,9.56801796,42.69237518,5,2,sub,,Tor Vargen,Merar,Ethiopia,East Africa,,547
icr055782,True,-9.13654,29.6744,12,1,top,Chil.12.1.Topsoil.Std fine soil,L.T.Desta,Chilende,Zambia,,False,997
icr033677,True,4.14940786,38.29164124,5,1,sub,Mega.5.1.Subsoil.Std fine soil,Leigh Wenoiwecki,Mega,Ethiopia,East Africa,,578
icr074045,True,-18.137,29.4347,5,1,top,Gamb.5.1.Topsoil.Std fine soil,L.T.Desta,Gambisa,Zimbabwe,,False,1699
icr030459,True,9.59254456,42.7080574,10,1,sub,,Tor Vargen,Merar,Ethiopia,East Africa,,556
icr037531,True,11.32956833,-5.518538333,7,1,top,Fink.7.1.Topsoil.Std fine soil,Jerome Tondoh,Finnkolo,Mali,West Africa,,1123
icr073341,True,-12.31628333,15.15200333,3,1,sub,Luim.3.1.Subsoil.Std fine soil,L.T.Desta,Luimbale,Angola,South Africa,,1630
icr075717,True,-15.85138333,26.095875,3,1,sub,Musu.3.1.Subsoil.Std fine soil,L.T.Desta,Musungwa,Zambia,South Africa,False,1412
icr068698,True,11.32778667,8.192435000000001,15,1,sub,Pamp.15.1.Subsoil.Std fine soil,Jerome Tondoh,Pampaida,Nigeria,West Africa,,1499
icr068302,True,13.41907833,1.7866083330000002,11,2,sub,Nyal.11.2.Subsoil.Std fine soil,Jerome Tondoh,Nyalagari,Niger,West Africa,,1460
icr068540,True,11.33524167,8.150375,7,1,sub,Pamp.7.1.Subsoil.Std fine soil,Jerome Tondoh,Pampaida,Nigeria,West Africa,,1484
icr074103,True,-18.0663,29.4295,8,1,sub,Gamb.8.1.Subsoil.Std fine soil,L.T.Desta,Gambisa,Zimbabwe,,False,1706
icr054515,True,1.475106667,31.48906833,6,1,top,Hoim.6.1.Topsoil.Std fine soil, Leigh Winowiecki ,Hoima,Uganda,East Africa,False,954
icr050215,True,-16.17429833,38.96290833,5,1,sub,Mart.5.1.Subsoil.Std fine soil,Lulseged Tamene,Martinho,Mozambique,South Africa,False,889
icr010747,True,12.51337,-6.3217300000000005,4,1,top,Kol.4.1.Topsoil.Std fine soil,Jerome Tondoh,Koloko,Mali,West Africa,True,32
icr049934,True,-24.18840333,34.34585833,7,1,top,Mass.7.1.Topsoil.Std fine soil,Lulseged Tamene,Massuque,Mozambique,South Africa,False,1381
icr068222,True,13.41339833,1.7547116669999998,7,2,sub,Nyal.7.2.Subsoil.Std fine soil,Jerome Tondoh,Nyalagari,Niger,West Africa,,1452
icr055883,True,-13.12839833,28.43756500000001,1,1,sub,Fise.1.1.Subsoil.Std fine soil,L.T.Desta,Fisenge,Zambia,South Africa,True,1006
icr033990,True,8.10690833,9.881415,5,1,top,Ibi.5.1.Topsoil.Std fine soil,Jerome Tondoh,Ibi,Nigeria,West Africa,False,637
icr021104,True,-8.04930496,37.33369827,14,1,sub,Kid.14.1.Subsoil.Std fine soil,Leigh Winoweicki,Kidatu,Tanzania,East Africa,False,377
icr024977,True,-6.87918282,34.19307327,7,2,sub,,Tor Vagen,Itende,Tanzania,East Africa,False,456
icr038139,True,11.30827332,39.57263565,3,2,sub,Kuta.3.2.Subsoil.Std fine soil,Leigh Wenoicki,Kutaber,Ethiopia,East Africa,True,728
icr056360,True,-16.11395,28.30799833,9,1,top,Mong.9.1.Topsoil.Std fine soil,L.T.Desta,Monga,Zambia,South Africa,False,1052
icr070387,True,9.24007,5.734768333,16,2,top,Kuti.16.2.Topsoil.Std fine soil,Jerom Tondoh,Kutigi,Nigeria,West Africa,,1755
icr075390,True,-17.7845,31.8373,4,2,top,Chiq.4.2.Topsoil.Std fine soil,L.T.Desta,Chiqumbakwe,Zimbabwe,,,1850
icr074651,True,-19.3975,22.0256,2,1,top,Guma.2.1.Topsoil.Std fine soil,L.T.Desta,Gumare,Botswana,,,1815
icr034521,True,7.00900167,9.378645,14,1,top,Kats.14.1.Topsoil.Std fine soil,Jerome Tondoh,Katsina ala,Nigeria,West Africa,False,685
icr062237,True,-18.3233,48.7092,6,2,top,Didy.6.2.Topsoil.Std fine soil,Leigh Winowieck,Didy,Madagascar,,,1344
icr062215,True,-18.3362,48.71,5,1,top,Didy.5.1.Topsoil.Std fine soil,Leigh Winowieck,Didy,Madagascar,,,1342
icr011991,True,-3.03098702,33.06267166,10,1,sub,Buk.10.1.Subsoil.Std fine soil,Leigh Winoweicki,Bukwaya,Tanzania,East Africa,True,262
icr073723,True,-19.43525,28.754072,5,1,top,Keni.5.1.Topsoil.Std fine soil,L.T.Desta,Kenilworth,Zimbabwe,South Africa,,1764
icr015353,True,10.92147667,-2.616638333,16,1,sub,Lam.16.1.Subsoil.Std fine soil,Jerome Tondoh,Lambussie,Ghana,West Africa,True,628
icr069850,True,14.87954,-7.8447,4,1,sub,Tamb.4.1.Subsoil.Std fine soil,Jerom Tondoh,Tambabougou,Mali,West Africa,,1730
icr049318,True,-22.80476167,35.28788167,8,1,sub,Chic.8.1.Subsoil.Std fine soil,Lulseged Tamene,Chiculecule,Mozambique,South Africa,False,831
icr006646,True,-6.0698,36.4918,11,1,top,Pan.11.1.Topsoil.Std fine soil,Tor Gunnar Vagen,Pandambili,Tanzania,East Africa,False,155
icr023653,True,-14.68108833,39.88605833,12,2,sub,Chik.12.2.Subsoil.Std fine soil,Dr L.T.Desta,Chica_b,Mozambique,South Africa,True,434
icr049437,True,-22.84876167,35.33593,14,1,top,Chic.14.1.Topsoil.Std fine soil,Lulseged Tamene,Chiculecule,Mozambique,South Africa,False,842
icr043012,True,10.54048833,-13.38327833,12,4,sub,Fria.12.4.Subsoil.Std fine soil,Jerome Tondoh,Fria,Guinea,West Africa,,1262
icr054565,True,1.462205,31.507475,9,1,sub,Hoim.9.1.Subsoil.Std fine soil, Leigh Winowiecki ,Hoima,Uganda,East Africa,True,961
icr014468,True,-11.59462833,34.20611667,4,1,top,Nkh.4.1.Topsoil.Std fine soil,L.T.Desta,Nkhata Bay,Malawi,South Africa,,97
icr020868,True,-8.04190826,37.27168274,2,1,top,Kid.2.1.Topsoil.Std fine soil,Leigh Winoweicki,Kidatu,Tanzania,East Africa,False,351
icr068539,True,11.33524167,8.150375,7,1,top,Pamp.7.1.Topsoil.Std fine soil,Jerome Tondoh,Pampaida,Nigeria,West Africa,,1483
icr049417,True,-22.87506833,35.33858167,13,1,top,Chic.13.1.Topsoil.Std fine soil,Lulseged Tamene,Chiculecule,Mozambique,South Africa,False,1406
icr073559,True,-12.32752333,15.22182667,14,1,sub,Luim.14.1.Subsoil.Std fine soil,L.T.Desta,Luimbale,Angola,South Africa,,1652
icr043324,True,11.94712667,-13.13483167,11,5,top,Boum.11.5.Topsoil.Std fine soil,Jerome Tondoh,Boumeoul,Guinea,West Africa,,1291
icr014824,True,-15.97529,35.31520167,5,1,sub,Thu.5.1.Subsoil.Std fine soil,L.T.Desta,Thuchila,Malawi,South Africa,True,273
icr074159,True,-18.0962,29.4588,11,1,top,Gamb.11.1.Topsoil.Std fine soil,L.T.Desta,Gambisa,Zimbabwe,,False,1711
icr048787,True,-29.7684,23.9145,4,4,sub,Hope.4.4.Subsoil.Std fine soil,George Van Zijl,Hopetown,South Africa,,,1309
icr042115,True,-1.68290997,35.80660629,8,1,top,Mori.8.1.Topsoil.Std fine soil,Leigh wenoweicki,Morijo,Kenya,East Africa,,1221
icr074194,True,-18.1315,29.4801,13,2,sub,Gamb.13.2.Subsoil.Std fine soil,L.T.Desta,Gambisa,Zimbabwe,,False,1716
icr010635,True,14.84399167,-10.96401,16,1,top,Kon.16.1.Topsoil.Std fine soil,Jerome Tondoh,Kontela,Mali,West Africa,False,235
icr073089,True,-11.70184,15.905035,8,1,sub,Bimb.8.1.Subsoil.Std fine soil,L.T.Desta,Bimbe,Angola,South Africa,,1610
icr010536,True,14.82578833,-10.99383,11,1,sub,Kon.11.1.Subsoil.Std fine soil,Jerome Tondoh,Kontela,Mali,West Africa,True,227
icr011990,True,-3.03098702,33.06267166,10,1,top,Buk.10.1.Topsoil.Std fine soil,Leigh Winoweicki,Bukwaya,Tanzania,East Africa,True,54
icr069790,True,14.809575,-7.843511667,1,1,sub,Tamb.1.1.Subsoil.Std fine soil,Jerom Tondoh,Tambabougou,Mali,West Africa,,1724
icr048794,True,-29.8323,23.9373,5,1,sub,Hope.5.1.Subsoil.Std fine soil,George Van Zijl,Hopetown,South Africa,,,1311
icr010826,True,12.51964667,-6.302163332999999,8,1,top,Kol.8.1.Topsoil.Std fine soil,Jerome Tondoh,Koloko,Mali,West Africa,True,36
icr024937,True,-6.92998695,34.19476318,5,1,top,,Tor Vagen,Itende,Tanzania,East Africa,False,451
icr069989,True,14.85474833,-7.80709,11,1,top,Tamb.11.1.Topsoil.Std fine soil,Jerom Tondoh,Tambabougou,Mali,West Africa,,1743
icr043267,True,11.96197,-13.153175,8,1,sub,Boum.8.1.Subsoil.Std fine soil,Jerome Tondoh,Boumeoul,Guinea,West Africa,,1286
icr054333,True,0.51432502,32.30515671,10,4,top,Nama.10.4.Topsoil.Std fine soil, Leigh Winowiecki ,Namasuba,Uganda,East Africa,False,929
icr038035,True,5.28465667,10.28513333,15,5,sub,Bana.15.5.Subsoil.Std fine soil,Jerome Tondoh,Bana,Cameroon,West Africa,,1172
icr074231,True,-18.0911,29.4842,15,1,top,Gamb.15.1.Topsoil.Std fine soil,L.T.Desta,Gambisa,Zimbabwe,,False,1719
icr015138,True,10.86856833,-2.663826667,5,1,sub,Lam.5.1.Subsoil.Std fine soil,Jerome Tondoh,Lambussie,Ghana,West Africa,False,618
icr048771,True,-29.7978,23.9075,3,3,sub,Hope.3.3.Subsoil.Std fine soil,George Van Zijl,Hopetown,South Africa,,,1307
icr050054,True,-24.24200667,34.39977333,13,1,top,Mass.13.1.Topsoil.Std fine soil,Lulseged Tamene,Massuque,Mozambique,South Africa,False,1393
icr030124,True,8.59928799,35.00059891,6,2,sub,,Tor Vagen,Dambidolo,Ethiopia,East Africa,True,482
icr054278,True,0.53307802,32.2866745,7,1,sub,Nama.7.1.Subsoil.Std fine soil, Leigh Winowiecki ,Namasuba,Uganda,East Africa,False,924
icr038170,True,11.25986958,39.59523392,5,1,top,Kuta.5.1.Topsoil.Std fine soil,Leigh Wenoicki,Kutaber,Ethiopia,East Africa,False,731
icr011202,True,10.90277,-3.530618333,10,1,top,Bon.10.1.Topsoil.Std fine soil,Jerome Tondoh,Bondigui,Burkina Faso,West Africa,,87
icr048643,True,-27.5431,30.071,12,1,sub,Mada.12.1.Subsoil.Std fine soil,George Van Zijl,Madadeni,South Africa,South Africa,False,776
icr073169,True,-11.70322333,15.92522667,12,1,sub,Bimb.12.1.Subsoil.Std fine soil,L.T.Desta,Bimbe,Angola,South Africa,,1616
icr015216,True,10.86049667,-2.632743333,9,1,top,Lam.9.1.Topsoil.Std fine soil,Jerome Tondoh,Lambussie,Ghana,West Africa,True,121
icr033951,True,8.14880667,9.866153333,3,1,sub,Ibi.3.1.Subsoil.Std fine soil,Jerome Tondoh,Ibi,Nigeria,West Africa,False,634
icr006143,True,-6.92808008,36.16547012,13,5,sub,Chi.13.5.Subsoil.Std fine soil,Tor Gunnar Vagen,Chinyanghuku,Tanzania,East Africa,False,602
icr056201,True,-16.113185,28.26820667,1,1,sub,Mong.1.1.Subsoil.Std fine soil,L.T.Desta,Monga,Zambia,South Africa,False,1037
icr048721,True,-27.545,30.0929,16,1,top,Mada.16.1.Topsoil.Std fine soil,George Van Zijl,Madadeni,South Africa,South Africa,False,783
icr073069,True,-11.72861167,15.90537,7,1,sub,Bimb.7.1.Subsoil.Std fine soil,L.T.Desta,Bimbe,Angola,South Africa,,1608
icr010595,True,14.79109833,-10.95833333,14,1,top,Kon.14.1.Topsoil.Std fine soil,Jerome Tondoh,Kontela,Mali,West Africa,False,231
icr075837,True,-15.896332,26.142028,9,1,sub,Musu.9.1.Subsoil.Std fine soil,L.T.Desta,Musungwa,Zambia,South Africa,False,1424
icr068240,True,13.443970000000002,1.754626667,8,1,sub,Nyal.8.1.Subsoil.Std fine soil,Jerome Tondoh,Nyalagari,Niger,West Africa,,1454
icr015853,True,5.39815167,-0.7511766670000001,6,1,sub,Aju.6.1.Subsoil.Std fine soil,Jerome Tondoh,Ajumako,Ghana,West Africa,True,328
icr072307,True,-7.315181667,15.69147833,4,1,sub,Sanz.4.1.Subsoil.Std fine soil,L.T.Desta,Sanza Pompo,Angola,South Africa,,1538
icr034303,True,7.02070167,9.30712,3,1,sub,Kats.3.1.Subsoil.Std fine soil,Jerome Tondoh,Katsina ala,Nigeria,West Africa,True,664
icr037986,True,5.233795,10.28871167,13,1,top,Bana.13.1.Topsoil.Std fine soil,Jerome Tondoh,Bana,Cameroon,West Africa,,1167
icr068663,True,11.28576667,8.197546667000001,13,4,sub,Pamp.13.4.Subsoil.Std fine soil,Jerome Tondoh,Pampaida,Nigeria,West Africa,,1495
