SSN,Public,EC,ExAc,ExBas,M3 Al,M3 B,M3 Ca,M3 Cu,M3 Fe,M3 K,M3 Mg,M3 Mn,M3 Na,M3 P,M3 S,M3 Zn,PH,PSI
icr049131,True,0.045,1.16,8.902370907,407.0,0.25,1250.0,2.32,81.3,209.0,247.0,141.0,17.6,45.9,7.3,1.57,6.79,8.96
icr049152,True,0.095,0.24,11.49155714,419.0,0.8,1610.0,1.19,64.1,381.0,291.0,90.5,14.3,40.0,6.92,3.4,8.27,4.18
icr049153,True,0.12,0.24,25.79160491,219.0,1.24,4350.0,1.1,34.6,435.0,347.0,80.5,14.1,32.4,12.4,1.3,8.66,15.1
icr049156,True,0.081,0.29,9.125936252,460.0,0.5,1210.0,1.34,74.3,344.0,257.0,115.0,16.6,33.0,4.89,1.66,8.16,20.8
icr049174,True,0.063,0.097,10.13804845,486.0,0.41,1310.0,2.1,67.3,349.0,311.0,153.0,28.8,31.0,6.08,1.17,8.03,29.4
icr049175,True,0.085,0.14,12.99100526,455.0,0.62,1960.0,2.18,60.7,239.0,294.0,138.0,34.5,20.3,5.57,1.04,8.48,9.5
icr049177,True,0.156,0.32,12.87297711,428.0,1.07,2220.0,1.29,39.5,121.0,131.0,159.0,87.6,84.2,14.2,4.23,8.01,-11.4
icr049178,True,0.102,0.23,10.65043774,407.0,0.85,1960.0,1.29,49.8,84.9,59.9,123.0,31.8,47.2,5.71,1.96,8.31,-13.5
icr049197,True,0.037000000000000005,0.41,2.147711737,396.0,0.001,286.0,0.37,49.1,64.7,54.3,117.0,23.8,8.36,3.64,1.28,6.31,-19.2
icr049198,True,0.023,0.23,1.019267084,483.0,0.001,109.0,0.34,62.6,44.5,30.2,64.1,25.5,4.11,2.84,0.54,5.71,-2.09
icr049217,True,0.027000000000000003,0.13,1.846630382,348.0,0.001,238.0,0.25,41.1,50.0,52.3,98.6,22.2,7.04,2.72,1.13,6.31,-4.38
icr049218,True,0.027000000000000003,0.23,1.032124876,441.0,0.24,120.0,0.34,40.1,34.2,25.5,49.4,30.8,2.9,2.01,0.87,5.54,-1.84
icr049237,True,0.055,0.27,2.686328549,440.0,0.37,350.0,0.43,35.6,75.5,77.2,179.0,24.2,6.78,5.1,0.47,6.34,-0.41
icr049238,True,0.08,0.37,1.521938978,479.0,0.27,175.0,0.37,43.0,50.5,48.5,137.0,26.9,3.33,4.6,0.54,5.75,7.35
icr049257,True,0.041,0.18,2.773279914,142.0,0.22,445.0,0.26,31.0,30.6,53.7,16.3,6.03,9.58,,1.28,6.74,-0.24
icr049258,True,0.027000000000000003,0.23,1.367157638,106.0,0.001,197.0,0.001,36.7,23.5,27.5,3.07,21.8,2.76,,0.45,6.38,-2.74
icr049277,True,0.071,0.13,3.704349306,392.0,0.31,578.0,0.66,40.4,56.9,72.3,170.0,16.4,7.68,2.34,1.45,6.66,-4.95
icr049278,True,0.08900000000000001,0.18,2.547033037,474.0,0.23,348.0,1.02,39.9,50.6,64.0,113.0,34.2,2.95,2.43,0.53,6.27,5.54
icr049297,True,0.048,0.23,2.505135804,342.0,0.26,342.0,0.45,33.8,55.7,68.4,176.0,20.1,6.25,2.6,0.89,6.39,8.8
icr049298,True,0.049,0.23,1.323942424,376.0,0.001,178.0,0.29,37.0,42.6,33.8,135.0,10.5,3.95,4.34,0.47,6.05,1.31
icr049457,True,0.146,0.13,4.514180635,534.0,0.33,702.0,0.68,44.4,52.4,82.3,253.0,43.7,11.0,12.2,1.26,6.93,9.0
icr049458,True,0.043,0.23,2.731453679,550.0,0.001,377.0,0.73,46.0,53.3,62.2,214.0,45.1,3.52,5.0,0.57,6.74,17.8
icr049477,True,0.048,0.18,3.770026421,431.0,0.001,586.0,0.72,50.1,58.0,70.7,301.0,24.7,9.69,4.22,1.53,7.16,0.53
icr049478,True,0.03,0.27,2.397223373,449.0,0.001,351.0,0.88,44.5,36.7,52.2,212.0,26.9,4.43,3.43,0.79,6.79,6.28
icr049496,True,0.409,0.099,7.695696244,409.0,0.87,907.0,0.43,114.0,24.8,208.0,16.2,317.0,8.38,6.45,0.75,8.09,8.59
icr049497,True,0.493,0.29,7.628098011,284.0,0.47,979.0,0.23,81.8,18.8,186.0,13.3,264.0,6.31,3.98,0.41,8.78,4.27
icr049516,True,0.025,0.099,2.388242375,397.0,0.001,283.0,0.27,106.0,37.6,94.5,5.82,22.1,56.4,5.83,1.19,6.28,4.84
icr049517,True,0.019,0.099,2.186336581,496.0,0.001,246.0,0.22,101.0,33.7,89.4,3.79,30.2,43.4,5.38,0.83,6.28,15.0
icr049536,True,0.022,0.19,2.03085646,374.0,0.001,278.0,0.2,58.3,10.4,59.7,12.0,27.8,4.51,2.88,0.95,6.53,7.15
icr049537,True,0.029,0.099,2.4406783830000003,530.0,0.001,331.0,0.36,119.0,30.2,62.1,12.3,44.9,10.8,4.66,1.42,5.84,13.2
icr049556,True,1.44,0.19,34.60053793,1140.0,1.71,2110.0,2.36,179.0,711.0,1680.0,11.5,1920.0,38.0,276.0,2.73,5.98,128.0
icr049557,True,1.71,0.099,43.05517639,771.0,3.5,2590.0,2.64,91.8,737.0,2010.0,127.0,2670.0,13.6,443.0,0.91,8.11,95.8
icr049576,True,0.08199999999999999,0.39,2.295823593,667.0,0.001,270.0,0.001,212.0,76.9,65.5,5.25,47.8,64.0,8.87,1.17,5.52,24.8
icr049577,True,0.106,0.39,1.248662256,818.0,0.001,106.0,0.21,159.0,34.4,32.7,1.81,82.9,23.0,12.9,0.53,5.31,37.6
icr049596,True,0.16,0.14,3.801016677,348.0,0.001,480.0,0.24,154.0,21.5,105.0,2.69,110.0,7.29,6.68,0.95,5.81,0.57
icr049597,True,0.049,0.097,4.603286762,254.0,0.001,580.0,0.34,116.0,20.8,146.0,1.7,102.0,20.2,4.48,0.98,7.02,-4.34
icr049616,True,0.043,0.099,4.542023525,328.0,0.001,595.0,0.43,67.5,20.2,161.0,64.0,42.5,1.38,4.01,0.7,6.9,2.66
icr049617,True,0.07400000000000001,0.099,7.875669082999999,469.0,0.001,950.0,0.42,52.4,20.8,325.0,94.0,88.9,3.41,4.08,0.93,7.71,22.5
icr049635,True,0.057,0.19,7.160382575,359.0,0.001,1040.0,0.99,96.0,57.5,199.0,90.4,38.8,28.3,5.05,3.82,6.39,4.88
icr049636,True,0.027000000000000003,0.099,6.0178676210000015,371.0,0.001,937.0,0.86,90.2,38.0,129.0,66.7,39.0,19.7,3.08,2.15,6.59,3.24
icr049655,True,4.83,0.29,179.24096830000005,357.0,9.74,990.0,1.36,261.0,1970.0,3750.0,9.81,31800.0,13.1,2320.0,3.87,4.76,87.5
icr049656,True,1.6,0.29,117.4002632,691.0,8.01,1070.0,2.75,291.0,1750.0,2600.0,9.32,19800.0,7.62,2250.0,6.55,4.63,144.0
icr049675,True,0.036000000000000004,0.19,4.099316121,469.0,0.001,449.0,0.58,159.0,64.7,162.0,33.6,80.5,1.53,4.87,0.67,6.35,19.5
icr049676,True,0.129,0.14,6.176771787000001,454.0,0.29,692.0,0.27,60.9,45.1,276.0,31.4,73.7,3.1,3.72,1.01,8.56,24.8
icr049695,True,0.03,0.49,1.548719748,915.0,0.001,152.0,1.21,343.0,66.7,48.7,3.55,49.6,125.0,6.76,1.06,5.95,43.1
icr049696,True,0.024,0.54,1.138846991,904.0,0.001,130.0,1.46,245.0,31.8,35.0,5.62,27.2,82.2,5.67,0.86,5.71,51.5
icr049715,True,0.06,0.099,7.713439686,363.0,0.25,931.0,0.82,132.0,120.0,306.0,97.3,51.2,71.0,5.7,2.25,6.75,4.35
icr049716,True,0.062,0.19,5.591447761,399.0,0.001,595.0,0.56,121.0,60.3,257.0,62.0,77.8,22.3,4.49,1.07,6.55,8.59
icr049735,True,3.12,0.099,94.2996449,708.0,9.02,1100.0,1.91,258.0,1440.0,2250.0,3.9,15300.0,20.1,1600.0,4.75,5.28,133.0
icr049736,True,8.73,0.099,79.24209391,763.0,6.23,931.0,2.39,236.0,1240.0,1960.0,2.89,12700.0,28.2,1070.0,4.66,5.68,123.0
icr049755,True,3.88,2.27,136.44462280000002,875.0,6.76,1210.0,0.001,568.0,1770.0,3130.0,8.81,23000.0,11.4,3940.0,11.3,3.61,218.0
icr049756,True,1.24,0.19,82.45678584,619.0,8.8,809.0,3.07,187.0,1530.0,2070.0,2.35,13200.0,16.9,1270.0,2.2,5.83,105.0
icr049775,True,0.153,0.099,4.3778096,379.0,0.59,470.0,0.28,98.4,84.1,152.0,6.44,128.0,16.8,6.67,1.05,7.26,0.69
icr049776,True,0.142,0.099,4.935396102,354.0,0.47,415.0,0.37,79.0,72.1,217.0,11.1,203.0,14.3,4.16,1.5,8.33,8.96
icr049795,True,0.201,0.29,2.390716641,380.0,0.001,269.0,0.26,289.0,33.4,57.8,7.37,111.0,19.6,7.29,0.47,4.98,26.0
icr050134,True,0.059,0.19,27.16182854,716.0,0.64,3670.0,4.02,147.0,128.0,1000.0,83.1,50.6,33.6,7.04,1.87,6.81,50.2
icr050135,True,0.063,0.29,21.35053603,752.0,0.44,2640.0,3.81,123.0,71.5,925.0,72.5,74.3,6.65,5.12,0.91,6.94,58.0
icr050154,True,0.052000000000000005,0.29,22.31933842,717.0,0.74,3590.0,2.86,177.0,247.0,428.0,83.2,46.1,181.0,8.23,2.47,7.17,43.7
icr050155,True,0.058,0.24,23.06603961,795.0,0.49,3620.0,3.21,202.0,124.0,542.0,69.1,39.0,78.3,6.03,1.01,6.79,57.8
icr050174,True,0.055,0.14,19.83066116,764.0,0.21,2740.0,3.66,183.0,136.0,668.0,80.9,60.3,7.59,6.33,1.89,6.09,55.1
icr050175,True,0.05,0.19,19.34940838,953.0,0.001,2460.0,4.19,173.0,76.7,782.0,40.7,89.8,3.01,5.5,0.91,5.94,69.6
icr050194,True,0.041,0.29,4.427993067,532.0,0.001,584.0,0.67,73.5,91.5,139.0,41.2,28.8,12.9,4.82,0.36,5.91,14.9
icr050214,True,0.023,0.24,1.795907928,520.0,0.001,216.0,0.28,98.0,29.0,60.5,3.95,32.6,7.78,3.66,0.43,5.4,17.8
icr050215,True,0.027000000000000003,0.53,1.659130646,777.0,0.001,136.0,0.65,72.2,19.3,81.2,1.6,59.5,4.36,5.47,1.3,5.38,48.1
icr050234,True,0.027000000000000003,0.24,10.61480755,983.0,0.001,1480.0,1.29,220.0,183.0,313.0,21.5,36.8,145.0,6.42,0.73,6.09,45.2
icr050235,True,0.031,0.19,9.481471539,1180.0,0.001,1280.0,1.46,205.0,104.0,317.0,20.7,45.0,149.0,6.12,0.34,6.02,75.3
icr050254,True,0.035,0.14,4.552054808,584.0,0.001,627.0,0.68,56.9,92.0,127.0,97.6,30.4,12.3,3.79,1.56,6.33,6.9
icr050255,True,0.021,0.19,3.461220435,674.0,0.001,432.0,0.71,43.6,61.0,119.0,67.4,37.2,4.6,5.58,7.09,6.14,30.8
icr050274,True,0.034,0.19,3.679060895,589.0,0.001,464.0,0.35,61.7,59.3,123.0,68.7,43.9,3.52,4.62,0.42,5.79,17.1
icr050275,True,0.032,0.14,3.823389804,745.0,0.001,435.0,0.24,57.4,36.2,164.0,37.2,46.1,1.95,4.68,0.38,5.65,32.8
icr050294,True,0.069,0.14,14.37851345,898.0,0.35,1810.0,5.56,114.0,62.5,476.0,79.0,284.0,8.79,6.38,0.54,6.46,96.4
icr050295,True,0.14800000000000002,0.19,19.11299169,1000.0,0.65,2010.0,5.96,88.9,50.2,555.0,120.0,1000.0,0.61,4.63,0.49,7.67,151.0
icr050314,True,0.037000000000000005,0.19,2.602286572,297.0,0.001,348.0,0.45,91.9,54.6,70.5,41.6,32.2,10.2,3.29,0.51,6.27,2.87
icr050315,True,0.03,0.24,1.312381476,303.0,0.001,164.0,0.26,71.8,18.0,35.7,10.5,34.8,4.47,4.66,0.34,5.53,8.96
icr050334,True,0.015,0.14,1.1453944109999998,208.0,0.001,153.0,0.001,44.6,23.1,27.2,41.8,22.2,6.64,2.2,0.69,5.62,3.81
icr050335,True,0.026,0.19,2.86897434,224.0,0.001,415.0,0.47,57.3,31.2,74.0,74.6,23.6,8.54,2.79,1.08,6.36,4.14
icr050354,True,0.048,0.19,9.792001015,551.0,0.29,1570.0,4.97,83.0,54.9,201.0,180.0,32.3,5.44,5.25,1.31,6.57,23.1
icr050355,True,0.059,0.097,7.718877005,702.0,0.27,1270.0,5.56,76.8,18.4,143.0,122.0,32.2,1.01,5.35,0.42,6.53,37.9
icr050374,True,0.032,0.19,4.157848069,526.0,0.001,588.0,1.41,48.4,55.6,120.0,52.5,19.3,4.85,4.12,0.53,6.13,18.3
icr050375,True,0.024,0.14,4.38777483,648.0,0.001,593.0,1.33,48.3,26.2,153.0,22.6,21.0,3.1,4.99,0.37,5.83,41.9
icr050394,True,0.03,0.14,2.0452571280000003,239.0,0.001,284.0,0.001,57.7,34.6,55.9,9.72,17.2,7.17,2.79,0.33,5.7,4.27
icr050395,True,0.022,0.14,1.668628543,248.0,0.001,193.0,0.001,40.6,37.3,52.5,4.97,40.1,4.87,3.57,0.43,5.4,6.41
icr050414,True,0.031,0.24,2.924870538,520.0,0.21,378.0,0.66,45.7,100.0,80.7,139.0,25.8,4.52,4.13,0.53,6.26,23.1
icr050415,True,0.032,0.097,2.107619264,592.0,0.001,251.0,0.57,40.9,60.6,67.0,112.0,33.1,1.87,4.82,0.48,5.78,35.9
icr050434,True,0.045,0.14,5.8178598,865.0,0.33,565.0,4.31,110.0,26.0,319.0,67.3,66.7,1.1,5.42,0.27,5.83,90.0
icr050435,True,0.036000000000000004,0.048,6.114188984,933.0,0.23,653.0,4.58,103.0,25.1,301.0,69.1,68.4,1.09,5.16,1.0,5.88,102.0
icr054165,True,0.142,0.14,12.91751707,807.0,0.48,2000.0,5.96,190.0,238.0,277.0,385.0,4.5,30.6,9.11,8.65,6.11,60.7
icr054166,True,0.042,0.14,10.08499994,805.0,0.24,1560.0,5.75,149.0,111.0,237.0,552.0,9.76,6.25,7.55,5.63,6.26,74.7
icr054183,True,0.161,0.28,7.747490012999999,939.0,0.001,1090.0,4.0,154.0,60.9,241.0,469.0,34.5,4.17,11.2,1.02,5.14,59.5
icr054184,True,0.056,0.61,5.993041152999999,923.0,0.001,792.0,3.64,145.0,46.1,220.0,413.0,22.3,1.2,9.57,1.04,5.32,94.3
icr054202,True,0.115,1.47,2.190754581,638.0,0.001,270.0,2.31,311.0,69.7,64.8,59.9,29.2,11.5,18.0,1.5,4.47,37.6
icr054220,True,0.238,0.71,10.18683668,646.0,0.001,1370.0,1.16,509.0,79.7,351.0,46.6,53.4,5.64,17.7,11.3,5.08,72.0
icr054221,True,0.057,0.95,4.474864725,507.0,0.001,523.0,0.001,981.0,68.2,183.0,32.2,39.8,2.83,16.9,1.36,5.22,90.6
icr054238,True,0.04,0.52,7.725519224,928.0,0.001,1100.0,5.21,328.0,153.0,205.0,584.0,32.2,6.99,15.6,4.23,6.02,66.1
icr054239,True,0.032,0.99,5.66464987,1070.0,0.001,862.0,4.04,164.0,44.8,141.0,388.0,17.2,1.01,9.65,1.22,5.15,95.7
icr054258,True,0.203,0.56,12.71762888,606.0,0.65,1930.0,4.03,141.0,195.0,301.0,383.0,18.7,11.2,9.97,4.83,6.34,18.5
icr054259,True,0.081,0.47,8.446916151,792.0,0.001,1230.0,4.39,166.0,94.5,245.0,397.0,7.0,2.95,11.1,3.06,5.76,41.7
icr054278,True,0.049,0.9,2.638767094,692.0,0.001,296.0,1.59,300.0,65.1,99.6,11.7,38.9,5.42,9.95,1.35,4.65,55.9
icr054293,True,0.278,0.61,13.95758027,764.0,0.001,1980.0,0.001,648.0,261.0,380.0,144.0,57.4,15.1,80.3,2.55,5.24,121.0
icr054294,True,0.139,0.96,5.852868995,471.0,0.001,745.0,1.38,486.0,115.0,197.0,36.6,47.3,6.65,32.1,1.29,4.8,46.5
icr054313,True,0.342,0.76,11.88699309,859.0,0.55,1530.0,4.88,175.0,641.0,302.0,381.0,23.4,29.2,22.0,3.58,5.76,37.2
icr054314,True,0.106,0.42,8.316499757,952.0,0.28,1070.0,5.25,123.0,315.0,243.0,580.0,35.1,5.9,21.2,1.55,5.76,67.4
icr054333,True,0.5479999999999999,0.52,14.46479952,688.0,0.83,2020.0,4.68,174.0,218.0,446.0,362.0,27.9,13.0,25.8,4.12,5.79,38.3
icr054334,True,0.195,0.56,8.303999915,852.0,0.35,1050.0,5.52,193.0,131.0,316.0,377.0,24.7,5.69,17.7,2.31,5.3,47.7
icr054344,True,0.109,0.52,12.21437763,742.0,0.55,1850.0,2.63,248.0,156.0,293.0,318.0,33.1,13.3,12.4,1.95,6.13,38.5
icr054345,True,0.09,0.71,5.6734757239999976,938.0,0.001,780.0,2.8,143.0,98.2,163.0,241.0,40.3,4.02,10.0,0.95,5.14,56.9
icr054360,True,0.35700000000000004,0.61,12.32353153,950.0,0.5,1700.0,2.14,330.0,294.0,328.0,134.0,83.0,32.0,43.0,8.23,6.01,59.1
icr054361,True,0.152,0.56,8.025167509,518.0,0.28,1080.0,1.58,258.0,127.0,221.0,103.0,109.0,20.9,22.6,6.4,6.48,8.63
icr054374,True,0.162,0.76,7.07058274,1010.0,0.001,1000.0,2.78,189.0,57.9,212.0,223.0,39.2,7.27,11.8,6.11,4.89,62.8
icr054375,True,0.076,1.28,4.47400763,1110.0,0.001,597.0,2.78,203.0,33.9,158.0,249.0,22.2,4.38,11.9,3.71,4.76,73.6
icr054387,True,0.196,0.71,8.924115956,921.0,0.24,1280.0,3.28,136.0,57.5,270.0,359.0,33.5,4.54,11.2,3.75,5.44,52.5
icr054388,True,0.084,0.61,7.8032548460000015,1010.0,0.001,1090.0,3.65,156.0,40.7,251.0,401.0,40.2,1.37,10.0,11.5,5.49,85.3
icr054410,True,0.38,0.47,17.10392298,797.0,0.72,2480.0,5.2,118.0,562.0,380.0,461.0,29.0,16.9,13.0,7.04,6.28,35.2
icr054411,True,0.221,0.47,12.94171038,916.0,0.34,1830.0,5.87,137.0,289.0,355.0,457.0,27.3,9.82,12.5,4.7,6.05,78.1
icr054418,True,0.259,0.47,17.82320602,721.0,0.92,2710.0,3.72,112.0,339.0,394.0,429.0,34.5,18.3,11.4,5.8,6.81,62.6
icr054419,True,0.08900000000000001,0.52,10.69230073,990.0,0.001,1510.0,4.41,153.0,139.0,320.0,367.0,32.7,7.05,8.1,3.98,5.7,89.2
icr054437,True,0.236,0.095,18.54759675,868.0,0.46,2620.0,2.45,95.3,199.0,591.0,260.0,12.5,5.03,11.5,1.97,5.93,130.0
icr054438,True,0.076,0.19,10.05396398,1080.0,0.001,1460.0,2.21,109.0,63.0,306.0,228.0,14.7,1.34,10.0,0.37,5.59,191.0
icr054456,True,0.106,0.19,7.481370611,902.0,0.001,953.0,3.2,131.0,183.0,264.0,125.0,15.3,6.42,9.14,2.16,5.39,73.4
icr054457,True,0.046,2.85,3.027940437,1340.0,0.001,382.0,4.33,113.0,74.7,103.0,165.0,17.4,1.48,8.93,4.12,4.7,166.0
icr054469,True,0.258,0.14,14.79097926,1190.0,0.24,2190.0,2.78,119.0,87.0,422.0,98.0,30.1,6.87,16.7,3.61,5.27,114.0
icr054470,True,0.073,0.23,11.73773945,1240.0,0.001,1870.0,3.29,115.0,55.3,267.0,71.2,9.13,2.91,11.6,2.21,5.29,131.0
icr054482,True,0.198,0.33,20.00102999,908.0,0.64,2880.0,2.76,107.0,384.0,550.0,164.0,16.9,9.72,11.5,4.53,6.38,73.2
icr054483,True,0.081,0.14,12.57233878,946.0,0.34,1690.0,2.79,90.0,230.0,416.0,99.7,22.1,4.22,11.1,2.81,6.01,108.0
icr054504,True,0.203,0.19,20.85676988,1200.0,0.44,2810.0,2.26,122.0,276.0,731.0,247.0,13.7,36.6,28.4,2.82,5.81,184.0
icr054515,True,0.197,0.047,25.07492634,905.0,1.01,3850.0,3.33,83.9,170.0,645.0,306.0,13.7,9.13,11.2,2.85,6.44,137.0
icr054516,True,0.099,0.095,19.01036617,1110.0,0.99,3090.0,4.17,72.8,95.6,398.0,273.0,6.12,3.01,8.95,0.51,6.49,194.0
icr054529,True,0.153,0.19,19.53519393,988.0,0.65,2520.0,4.02,98.4,848.0,570.0,196.0,12.8,6.31,16.8,4.96,6.48,110.0
icr054530,True,0.049,0.14,13.28008856,1200.0,0.38,1710.0,4.37,151.0,486.0,409.0,206.0,24.6,2.46,10.5,2.81,6.0,159.0
icr054550,True,0.308,0.14,12.32179852,1230.0,0.3,1660.0,3.21,183.0,155.0,408.0,243.0,58.3,11.0,18.2,4.75,5.24,101.0
icr054551,True,0.052000000000000005,0.76,6.309382173,1250.0,0.001,1020.0,2.98,142.0,43.1,127.0,133.0,11.4,5.19,9.66,2.6,5.19,151.0
icr054564,True,0.105,0.19,15.77290081,1050.0,0.26,2260.0,3.53,89.9,139.0,487.0,650.0,21.3,1.98,8.94,5.19,6.13,149.0
icr054585,True,0.149,0.095,19.00111116,774.0,0.71,2760.0,3.06,71.7,254.0,537.0,358.0,26.1,4.0,9.86,5.88,6.69,70.5
icr054586,True,0.073,0.19,14.64071463,1000.0,0.3,2120.0,3.61,93.4,111.0,448.0,327.0,12.5,1.69,7.16,2.92,6.19,99.2
icr054606,True,0.153,0.14,12.57610471,912.0,0.46,1400.0,2.06,88.1,761.0,432.0,253.0,13.7,14.6,15.1,2.16,6.62,83.9
icr054607,True,0.052000000000000005,0.14,9.27699182,919.0,0.34,1230.0,2.1,81.0,158.0,323.0,284.0,12.3,2.34,12.7,1.05,5.78,104.0
icr054618,True,0.207,0.047,18.41858088,946.0,0.67,2710.0,3.21,84.3,225.0,509.0,145.0,19.9,14.8,16.7,1.06,6.56,64.7
icr054619,True,0.051,0.095,11.59506182,1180.0,0.33,1590.0,3.66,141.0,116.0,398.0,159.0,13.6,4.87,15.5,0.22,5.88,109.0
icr054641,True,0.091,0.047,18.29052294,849.0,0.47,2840.0,3.23,75.3,118.0,458.0,139.0,0.83,13.3,9.17,0.45,6.39,59.3
icr054642,True,0.081,0.095,18.17000845,1040.0,0.51,2560.0,3.58,84.9,177.0,586.0,197.0,17.1,4.94,11.0,7.15,6.18,102.0
icr054656,True,0.14800000000000002,0.095,22.89571664,971.0,0.78,3340.0,3.28,113.0,183.0,687.0,470.0,11.5,8.18,13.3,1.02,6.74,124.0
icr054657,True,0.057,0.095,14.55590581,1170.0,0.37,1770.0,3.03,87.9,96.1,640.0,342.0,39.3,2.07,13.2,0.52,6.27,179.0
icr054676,True,0.098,0.38,12.23470525,1070.0,0.4,1870.0,3.27,307.0,66.0,313.0,222.0,29.7,8.2,16.3,8.72,6.08,92.0
icr054677,True,0.052000000000000005,1.61,5.059849295,1330.0,0.001,754.0,2.86,115.0,46.5,136.0,45.1,10.8,4.29,16.1,2.19,4.84,110.0
icr054697,True,0.109,0.19,18.6367572,933.0,0.54,2890.0,3.15,90.9,138.0,457.0,163.0,13.1,7.82,10.7,0.59,6.36,54.1
icr054698,True,0.107,0.095,17.84348397,948.0,0.48,2740.0,3.47,89.6,125.0,450.0,156.0,24.1,7.31,10.9,0.6,6.32,88.7
icr055563,True,0.036000000000000004,0.91,1.229930143,646.0,0.001,129.0,0.22,107.0,73.7,37.5,32.6,19.9,11.7,8.4,0.47,4.9,26.4
icr055564,True,0.017,1.15,0.8705759129999999,750.0,0.001,85.4,0.27,94.7,51.1,28.6,8.76,17.6,4.97,7.03,0.67,4.75,44.7
icr055583,True,0.024,1.53,1.163751242,596.0,0.001,155.0,0.29,149.0,50.7,23.3,13.7,15.3,6.52,5.83,0.7,4.8,55.9
icr055584,True,0.017,1.63,0.879487751,558.0,0.001,109.0,0.35,107.0,33.4,18.3,9.06,22.5,2.59,5.21,0.74,4.83,35.5
icr055603,True,0.029,0.67,1.418604933,553.0,0.001,97.6,0.21,93.8,126.0,62.3,15.9,21.5,4.67,5.11,0.62,5.35,22.1
icr055604,True,0.019,1.53,1.410430598,735.0,0.001,68.4,0.27,65.7,152.0,69.3,3.7,24.6,1.57,4.31,0.97,5.14,62.6
icr055623,True,0.024,1.05,1.48284976,528.0,0.001,109.0,0.32,85.6,77.4,67.8,28.8,41.3,6.77,6.92,3.27,5.06,24.1
icr055624,True,0.016,2.01,1.081977056,646.0,0.001,66.3,0.38,64.3,55.4,62.3,10.0,21.6,2.49,4.45,1.0,4.93,41.4
icr055643,True,0.023,0.76,0.890144808,621.0,0.001,58.2,0.23,100.0,119.0,28.2,4.08,14.2,6.13,6.72,1.1,5.21,24.7
icr055663,True,0.02,0.86,1.084902718,597.0,0.001,69.5,0.32,128.0,165.0,28.8,25.5,17.8,8.48,7.08,1.71,5.34,16.9
icr055664,True,0.025,1.34,1.0865525459999998,702.0,0.001,74.5,0.22,91.3,158.0,25.3,3.52,23.2,3.24,5.97,0.81,5.07,32.1
icr055683,True,0.015,1.15,1.14125288,556.0,0.001,129.0,0.31,319.0,63.0,23.4,3.12,32.6,5.53,6.3,0.72,5.37,28.0
icr055684,True,0.01,1.31,1.388088605,703.0,0.001,160.0,0.37,158.0,63.5,33.2,1.57,34.8,2.38,5.73,0.57,5.17,72.2
icr055703,True,0.029,0.67,2.1321824730000003,681.0,0.001,291.0,0.76,375.0,77.0,45.8,9.62,23.4,18.8,5.99,1.03,5.32,44.8
icr055723,True,0.013,0.96,1.166901852,681.0,0.001,71.7,0.38,115.0,118.0,49.2,4.03,23.0,4.22,5.93,0.81,5.35,58.5
icr055724,True,0.019,1.34,0.918547716,800.0,0.001,66.2,0.74,160.0,121.0,23.6,4.0,19.1,3.68,5.94,2.17,5.11,88.8
icr055742,True,0.029,1.34,1.126412293,790.0,0.001,66.4,0.52,194.0,166.0,33.6,2.28,21.2,6.36,8.48,0.92,5.05,65.7
icr055743,True,0.025,2.68,1.212588552,1060.0,0.001,87.4,0.64,128.0,139.0,37.1,1.05,26.1,3.3,8.12,0.61,4.72,116.0
icr055762,True,0.032,1.15,0.733999524,647.0,0.001,59.3,0.001,93.1,76.0,23.0,5.95,12.2,10.8,7.69,1.31,4.95,58.2
icr055763,True,0.016,1.53,0.803926666,808.0,0.001,67.9,0.001,65.9,62.3,25.5,1.55,21.7,4.36,8.61,1.07,4.82,68.8
icr055782,True,0.027000000000000003,0.57,1.408625055,454.0,0.001,100.0,0.001,243.0,109.0,67.9,24.1,15.8,9.96,5.48,0.65,5.64,24.1
icr055802,True,0.028,0.76,1.152149246,636.0,0.001,98.6,0.001,234.0,118.0,27.3,2.81,30.3,9.95,8.05,0.57,5.13,48.0
icr055803,True,0.019,0.96,0.80803403,690.0,0.001,67.6,0.001,152.0,86.4,17.3,1.75,24.4,4.34,4.99,0.98,4.96,53.6
icr055823,True,0.027000000000000003,3.07,1.718091036,1290.0,0.001,109.0,0.001,236.0,254.0,47.4,2.47,30.3,3.66,11.4,0.74,4.57,79.4
icr055842,True,0.024,0.76,0.8848205809999999,559.0,0.001,72.3,0.001,118.0,64.1,33.7,10.6,18.6,7.19,5.42,0.37,5.11,18.7
icr055862,True,0.03,0.38,1.72200112,503.0,0.001,159.0,0.37,164.0,87.5,72.2,37.7,24.5,10.0,8.85,1.17,5.4,19.3
icr055863,True,0.014,1.34,1.581803703,734.0,0.001,115.0,0.41,77.6,117.0,74.2,5.66,21.7,2.43,6.87,0.59,5.09,57.4
icr055882,True,0.04,0.76,1.582186489,1130.0,0.001,199.0,23.7,68.5,51.0,39.8,34.7,29.4,39.9,27.3,1.27,4.95,58.3
icr055883,True,0.031,0.76,1.211729619,1270.0,0.001,134.0,8.58,57.7,49.5,36.5,29.5,26.1,11.9,36.9,1.38,4.84,84.2
icr055902,True,0.04,0.28,2.195710723,1240.0,0.001,240.0,20.0,73.6,122.0,71.1,21.8,22.1,18.4,16.3,2.1,5.31,74.7
